Be kind, for everyone you meet is fighting a harder battle.|Plato
Sleep is good, he said, and books are better.|George R. R. Martin
Where there is love there is life.|Mahatma Gandhi
May you live every day of your life.|Jonathan Swift
Two wrongs don't make a right, but they make a good excuse.|Thomas Szasz
Women are meant to be loved, not to be understood.|Oscar Wilde
Who controls the past controls the future. Who controls the present controls the past.|George Orwell
Man is the only creature who refuses to be what he is.|Albert Camus
We write to taste life twice, in the moment and in retrospect.|Anais Nin
I don't want to go to heaven. None of my friends are there.|Oscar Wilde
I have hated words and I have loved them, and I hope I have made them right.|Markus Zusak
I love sleep. My life has the tendency to fall apart when I'm awake, you know?|Ernest Hemingway
A clever person solves a problem. A wise person avoids it.|Albert Einstein
Nobody has ever measured, not even poets, how much the heart can hold.|Zelda Fitzgerald
It's only after we've lost everything that we're free to do anything.|Chuck Palahniuk
Get busy living or get busy dying.|Stephen King
If my life is going to mean anything, I have to live it myself.|Rick Riordan
You educate a man; you educate a man. You educate a woman; you educate a generation.|Brigham Young
When someone shows you who they are believe them the first time.|Maya Angelou
Chance is perhaps the pseudonym of God when he does not want to sign.|ThÃ©ophile Gautier
We loved with a love that was more than love.|Edgar Allen Poe
All the world is made of faith, and trust, and pixie dust.|J.M. Barrie
It is sometimes an appropriate response to reality to go insane.|Philip K. Dick
The fault, dear Brutus, is not in our stars, but in ourselves.|William Shakespeare
This is a good sign, having a broken heart. It means we have tried for something.|Elizabeth Gilbert
Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?|L.M. Montgomery
Anyone who lives within their means suffers from a lack of imagination.|Oscar Wilde
Let us read, and let us dance; these two amusements will never do any harm to the world.|Voltaire
Unless someone like you cares a whole awful lot,Nothing is going to get better. It's not.|Dr. Seuss
Life is a book and there are a thousand pages I have not yet read.|Cassandra Clare
Tell me, what is it you plan to do with your one wild and precious life?|Mary Oliver
The planet is fine. The people are fucked.|George Carlin
Never laugh at live dragons.|J.R.R. Tolkien
It is the unknown we fear when we look upon death and darkness, nothing more.|J.K. Rowling
It is the mark of an educated mind to be able to entertain a thought without accepting it.|Aristotle
Hereâ€™s to books, the cheapest vacation you can buy.|Charlaine Harris
Eating and reading are two pleasures that combine admirably.|C.S. Lewis
If you expect nothing from somebody you are never disappointed.|Sylvia Plath
Reading is one form of escape. Running for your life is another.|Lemony Snicket
Every saint has a past, and every sinner has a future.|Oscar Wilde
The secret of life, though, is to fall seven times and to get up eight times.|Paulo Coelho
Any fool can know. The point is to understand.|Albert Einstein
Reality is merely an illusion, albeit a very persistent one.|Albert Einstein
I took a deep breath and listened to the old brag of my heart. I am, I am, I am.|Sylvia Plath
The world is a book and those who do not travel read only one page.|St. Augustine
There are no good girls gone wrong - just bad girls found out.|Mae West
Never go to bed mad. Stay up and fight.|Phyllis Diller
If we knew what it was we were doing, it would not be called research, would it?|Albert Einstein
One day I will find the right words, and they will be simple.|Jack Kerouac
Life can only be understood backwards; but it must be lived forwards.|SÃ¸ren Kierkegaard
Faithless is he that says farewell when the road darkens.|J.R.R. Tolkien
Pain is inevitable. Suffering is optional.|haruki murakami
I am not young enough to know everything.|Oscar Wilde
I have no special talents. I am only passionately curious.|Albert Einstein
I like work: it fascinates me. I can sit and look at it for hours.|Jerome K. Jerome
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.|Roy T. Bennett
Sarcasm is the last refuge of the imaginatively bankrupt.|Cassandra Clare
I have decided to stick to love...Hate is too great a burden to bear.|Martin Luther King Jr
Always do what you are afraid to do.|Ralph Waldo Emerson
What's meant to be will always find a way|Trisha Yearwood
Make it a rule never to give a child a book you would not read yourself.|George Bernard Shaw
In a time of deceit telling the truth is a revolutionary act.|George Orwell
Our lives begin to end the day we become silent about things that matter.|Martin Luther King Jr
The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..|John Milton
Experience is merely the name men gave to their mistakes.|Oscar Wilde
The flower that blooms in adversity is the rarest and most beautiful of all.|Walt Disney Company
Give a girl the right shoes, and she can conquer the world.|Bette Midler
A thing is not necessarily true because a man dies for it.|Oscar Wilde
Somewhere, something incredible is waiting to be known.|Carl Sagan
Hearts are made to be broken.|Oscar Wilde
Once you learn to read, you will be forever free.|Frederick Douglass
Faith is taking the first step even when you can't see the whole staircase.|Martin Luther King Jr
Think of all the beauty still left around you and be happy.|Anne Frank
Whether you think you can, or you think you can't--you're right.|Henry Ford
There is nothing either good or bad, but thinking makes it so.|William Shakespear
Fantasy is hardly an escape from reality. It's a way of understanding it.|Lloyd Alexander
Two people in love, alone, isolated from the world, that's beautiful.|Milan Kundera
I did not attend his funeral, but I sent a nice letter saying I approved of it.|Mark Twain
Where is human nature so weak as in the bookstore?|Henry Ward Beecherr
All happy families are alike; each unhappy family is unhappy in its own way.|Leo Tolstoy  
Think before you speak. Read before you think.|Fran Lebowitz
I cannot live without books.|Thomas Jefferson
I have loved the stars too fondly to be fearful of the night.|Sarah   Williams
God created war so that Americans would learn geography.|Mark Twain
Hell is empty and all the devils are here.|William Shakespeare
The wound is the place where the Light enters you.|Rumi
I can't imagine a man really enjoying a book and reading it only once.|C.S. Lewis
What is a friend? A single soul dwelling in two bodies.|Aristotle
For the two of us, home isn't a place. It is a person. And we are finally home.|Stephanie Perkins
For you, a thousand times over|Khaled Hosseini
Accept who you are. Unless you're a serial killer.|Ellen DeGeneres
The most courageous act is still to think for yourself. Aloud.|Coco Chanel
Never let your sense of morals prevent you from doing what is right.|Isaac Asimov
I generally avoid temptation unless I can't resist it.|Mae West
Love is so short, forgetting is so long.|Pablo Neruda
Books are mirrors: you only see in them what you already have inside you.|Carlos Ruiz ZafÃ³n
Not my daughter, you bitch!|J.K. Rowling
You never have to change anything you got up in the middle of the night to write.|Saul Bellow
All little girls should be told they are pretty, even if they aren't.|Marilyn Monroe
Good books don't give up all their secrets at once.|Stephen King
It's not true that I had nothing on. I had the radio on.|Marilyn Monroe
The very essence of romance is uncertainty.|Oscar Wilde
The unexamined life is not worth living.|Socrates
It is not in the stars to hold our destiny but in ourselves.|William Shakespeare
Everything in the world is about sex except sex. Sex is about power.|Oscar Wilde
Either write something worth reading or do something worth writing.|Benjamin Franklin
If you remember me, then I don't care if everyone else forgets.|Haruki Murakami
You said you were going for a walk!? What kind of walk takes six hours?A long one?|Cassandra Clare
Try not to become a man of success. Rather become a man of value.|Albert Einstein
Happiness is a warm puppy.|Charles M. Schulz
Books may well be the only true magic.|Alice Hoffman
I was gratified to be able to answer promptly, and I did. I said I didnâ€™t know.|Mark Twain
Never allow someone to be your priority while allowing yourself to be their option.|Mark Twain
Turn your wounds into wisdom.|Oprah Winfrey
Nobody realizes that some people expend tremendous energy merely to be normal.|Albert Camus
Don't ever tell anybody anything. If you do, you start missing everybody.|J. D. Salinger
We are all different. Donâ€™t judge, understand instead.|Roy T. Bennett
Many people, myself among them, feel better at the mere sight of a book.|Jane Smiley
I don't know the question, but sex is definitely the answer.|Woody Allen
Be mindful. Be grateful. Be positive. Be true. Be kind.|Roy T. Bennett
Above all, be the heroine of your life, not the victim.|Nora Ephron
All animals are equal, but some animals are more equal than others.|George Orwell
Why fit in when you were born to stand out?|Dr. Seuss
Kiss me, and you will see how important I am.|Sylvia Plath
War is peace. Freedom is slavery. Ignorance is strength.|George Orwell
There are worse crimes than burning books. One of them is not reading them.|Joseph Brodsky
That's the thing about books. They let you travel without moving your feet.|Jhumpa Lahiri
Whatever it is you're seeking won't come in the form you're expecting.|Haruki Marukami
You must stay drunk on writing so reality cannot destroy you.|Ray Bradbury
I have great faith in fools - self-confidence my friends will call it.|Edgar Allan Poe
You must have chaos within you to give birth to a dancing star.|Friedrich Nietzsche
I don't go looking for trouble. Trouble usually finds me.|Katie McGarry
They love their hair because they're not smart enough to love something more interesting.|John Green
Beneath the makeup and behind the smile I am just a girl who wishes for the world.|Marilyn Monroe
As usual, there is a great woman behind every idiot.|John Lennon
What happens when people open their hearts?They get better.|Haruki Murakami
Man may have discovered fire, but women discovered how to play with it.|Candace Bushnell
Education is the most powerful weapon which you can use to change the world.|Nelson Mandela
Being crazy isn't enough.|Dr. Seuss
One day, in retrospect, the years of struggle will strike you as the most beautiful.|Sigmund Freud
If you have a garden and a library, you have everything you need.|Cicero
Life is pain, highness. Anyone who says differently is selling something.|William Goldman
If you are going through hell, keep going.|Winston S. Churchill
Should I kill myself, or have a cup of coffee?|Albert Camus
I lie to myself all the time. But I never believe me.|S.E. Hinton
Time flies like an arrow; fruit flies like a banana.|Anthony G. Oettinger
Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.|J.K. Rowling
Nothing of me is original. I am the combined effort of everyone I've ever known.|Chuck Palahniuk
I think God, in creating man, somewhat overestimated his ability.|Oscar Wilde
Stories of imagination tend to upset those without one.|Terry Pratchett
A girl should be two things: classy and fabulous.|Coco Chanel
When a man gives his opinion, he's a man. When a woman gives her opinion, she's a bitch.|Bette Davis
Every child is an artist. The problem is how to remain an artist once he grows up.|Pablo Picasso
Deadlines just aren't real to me until I'm staring one in the face.|Rick Riordan
The future belongs to those who believe in the beauty of their dreams.|Eleanor Roosevelt
You cannot swim for new horizons until you have courage to lose sight of the shore.|William Faulkner
And, in the endThe love you takeis equal to the love you make.|Paul McCartney
It was love at first sight, at last sight, at ever and ever sight.|Vladimir Nabokov
Resist much, obey little.|Walt Whitman
Loyalty to country ALWAYS. Loyalty to government, when it deserves it.|Mark Twain
My tastes are simple: I am easily satisfied with the best.|Winston S. Churchill
I don't want to die without any scars.|Chuck Palahniuk
Show me a hero, and I'll write you a tragedy.|F. Scott Fitzgerald
Angry people are not always wise.|Jane Austen
She is too fond of books, and it has turned her brain.|Louisa May Alcott
Will looked horrified. What kind of monster could possibly hate chocolate?|Cassandra Clare
No medicine cures what happiness cannot.|Gabriel GarcÃ­a MÃ¡rquez
I am a badass, and I recognize that you, too, are a badass.|Cassandra Clare
Fiction is the truth inside the lie.|Stephen King
The town was paper, but the memories were not.|John Green
My nightmares are usually about losing you. I'm okay once I realize you're here.|Suzanne Collins
And now these three remain: faith, hope and love. But the greatest of these is love.|Anonymous
Don't tell me the moon is shining; show me the glint of light on broken glass.|Anton Chekhov
The road to hell is paved with adverbs.|Stephen King
Wow, Thalia muttered. Apollo is hot. He's the sun god, I said.That's not what I meant.|Rick Riordan
Fear doesn't shut you down; it wakes you up|Veronica Roth
Maybe 'okay' will be our 'always|John Green
Freedom is not worth having if it does not include the freedom to make mistakes.|Mahatma Gandhi
Life's under no obligation to give us what we expect.|Margaret Mitchell
Happiness is having a large, loving, caring, close-knit family in another city.|George Burns
Nobody can hurt me without my permission.|Mahatma Gandhi
Don't judge each day by the harvest you reap but by the seeds that you plant.|Robert Louis Stevenson
Fire is catching! And if we burn, you burn with us!|Suzanne Collins
But I know, somehow, that only when it is dark enough can you see the stars.|Martin Luther King, Jr
I was never really insane except upon occasions when my heart was touched.|Edgar Allan Poe
What you seek is seeking you.|Mawlana Jalal-al-Din Rumi
It's not denial. I'm just selective about the reality I accept.|Bill Watterson
Wrinkles should merely indicate where the smiles have been.|Mark Twain
Words are, of course, the most powerful drug used by mankind.|Rudyard Kipling
The truth does not change according to our ability to stomach it.|Flannery O'Connor
Books are the mirrors of the soul.|Virginia Woolf
If you look for perfection, you'll never be content.|Leo Tolstoy
It kills me sometimes, how people die.|Markus Zusak
Blessed is he who expects nothing, for he shall never be disappointed.|Alexander Pope
There is nothing in the world so irresistibly contagious as laughter and good humor.|Charles Dickens
None but ourselves can free our minds.|Bob Marley
I did then what I knew how to do. Now that I know better, I do better.|Maya Angelou
Unbeing dead isn't being alive.|E. E. Cummings
Never say goodbye because goodbye means going away and going away means forgetting.|J.M. Barrie
Fear cuts deeper than swords.|George R.R. Martin
Why, sometimes I've believed as many as six impossible things before breakfast.|Lewis Carroll
People haven't always been there for me but music always has.|Taylor Swift
War is what happens when language fails.|Margaret Atwood
I will not say: do not weep; for not all tears are an evil.|J.R.R. Tolkien
Let no man pull you so low as to hate him.|Martin Luther King Jr
To go wrong in one's own way is better than to go right in someone else's.|Fyodor Dostoevsky
Let us step into the night and pursue that flighty temptress, adventure.|J.K. Rowling
All grown-ups were once children... but only few of them remember it.|Antoine de Saint-ExupÃ©ry
God has no religion.|Mahatma Gandhi
I don't want to repeat my innocence. I want the pleasure of losing it again.|F. Scott Fitzgerald
Trust yourself. You know more than you think you do.|Benjamin Spock
It is amazing how complete is the delusion that beauty is goodness.|Leo Tolstoy
Do what is right, not what is easy nor what is popular.|Roy T. Bennett
Without deviation from the norm, progress is not possible.|Frank Zappa
Fear of a name increases fear of the thing itself.|J.K. rowling
It is better to fail in originality than to succeed in imitation.|Herman Melville
When life gives you lemons, squirt someone in the eye.|Cathy Guiswite
When love is not madness it is not love.|Pedro Calderon de la Barca
People say nothing is impossible, but I do nothing every day.|A.A. Milne
A brave man acknowledges the strength of others.|Veronica Roth
Women who seek to be equal with men lack ambition.|Timothy Leary
If you go home with somebody, and they don't have books, don't fuck 'em!|John Waters
Some people have lives; some people have music.|John Green
The journey of a thousand miles begins with a single step.|Lao Tzu
What you must understand about me is that Iâ€™m a deeply unhappy person.|John Green
Tell the truth, or someone will tell it for you.|Stephanie Klein
Rather than love, than money, than fame, give me truth.|Henry David Thoreau
No person is your friend who demands your silence, or denies your right to grow.|Alice Walker
We live for books.|Umberto Eco
Life becomes easier and more beautiful when we can see the good in other people.|Roy T. Bennett
God will not look you over for medals, degrees or diplomas but for scars.|Elbert Hubbard
Art is the lie that enables us to realize the truth.|Pablo Picasso
I suppose I'll have to add the force of gravity to my list of enemies.|Lemony Snicket
Only a true best friend can protect you from your immortal enemies.|Richelle Mead
The only way to find true happiness is to risk being completely cut open.|Chuck Palahniuk
The best way to find out if you can trust somebody is to trust them.|Ernest Hemingway
Some cause happiness wherever they go; others whenever they go.|Oscar Wilde (attributed to)
Some old wounds never truly heal, and bleed again at the slightest word.|George R.R. Martin
Declarations of love amuse me. Especially when unrequited.|Cassandra Clare
Donâ€™t grieve. Anything you lose comes round in another form.|Rumi
True love is rare, and it's the only thing that gives life real meaning.|Nicholas Sparks
I love you more than there are stars in the sky and fish in the sea.|Nicholas Sparks
A woman's heart should be so hidden in God that a man has to seek Him just to find her.|Max Lucado
In heaven, all the interesting people are missing.|Friedrich Nietzsche
The scariest moment is always just before you start.|Stephen King
It's kind of fun to do the impossible.|Walt Disney
We know what we are, but not what we may be.|William Shakespeare
Follow your inner moonlight; don't hide the madness.|Allen Ginsberg
Pain is temporary. Quitting lasts forever.|Lance Armstrong Sally Jenkins
To define is to limit.|Oscar Wilde
Worry does not empty tomorrow of its sorrow, it empties today of its strength.|Corrie Ten Boom
I love you. Remember. They cannot take it|Lauren Oliver
You pierce my soul. I am half agony, half hope...I have loved none but you.|Jane Austen
It's not the load that breaks you down, it's the way you carry it.|Lou Holtz
Nothing is so painful to the human mind as a great and sudden change.|Mary Wollstonecraft Shelley
He who has a why to live for can bear almost any how.|Friedrich Nietzsche
Reading one book is like eating one potato chip.|Diane Duane
A woman has to live her life, or live to repent not having lived it.|D.H. Lawrence
Cinderella? Snow White? What's that? An illness?|J.K. Rowling
There's plenty of sense in nonsense sometimes, if you wish to look for it.|Cassandra Clare
Do I not destroy my enemies when I make them my friends?|Abraham Lincoln
Even the darkest night will end and the sun will rise.|Victor Hugo
You never fail until you stop trying.|Albert Einstein
You'll stay with me?'Until the very end,' said James.|J. K. Rowling
I read a book one day and my whole life was changed.|Orhan Pamuk
but for my own part, if a book is well written, I always find it too short.|Jane Austen
The most wasted of all days is one without laughter.|Nicolas Chamfort
Books are for people who wish they were somewhere else.|Mark Twain
All the darkness in the world cannot extinguish the light of a single candle.|St. Francis Of Assisi
Writing is a socially acceptable form of schizophrenia.|E.L. Doctorow
Poets have been mysteriously silent on the subject of cheese.|G.K. Chesterton
Laters, baby.|E.L. James
Love is an irresistible desire to be irresistibly desired.|Robert Frost
The more I see, the less I know for sure.|John Lennon
There is no real ending. Itâ€™s just the place where you stop the story.|Frank Herbert
There are no facts, only interpretations.|Friedrich Nietzsche
What is hell? I maintain that it is the suffering of being unable to love.|Fyodor Dostoevsky
If I can stop one heart from breaking, I shall not live in vain.|Emily Dickinson
What would men be without women? Scarce, sir...mighty scarce.|Mark Twain
Youâ€™ve got about as much charm as a dead slug.|Suzanne Collins
It's enough for me to be sure that you and I exist at this moment.|Gabriel GarcÃ­a MÃ¡rquez
Start writing, no matter what. The water does not flow until the faucet is turned on.|Louis L'Amour
Walk as if you are kissing the Earth with your feet.|Thich Nhat Hanh
Pursue what catches your heart, not what catches your eyes.|Roy T. Bennett
Basically, I have two speeds.... Hostile or smart-aleck. Your choice.|James Patterson
Make improvements, not excuses. Seek respect, not attention.|Roy T. Bennett
No. I can survive well enough on my ownâ€” if given the proper reading material.|Sarah J. Maas
All endings are also beginnings. We just don't know it at the time.|Mitch Albom
Don't Panic.|Douglas Adams
Live to the point of tears.|Albert Camus
When you stop expecting people to be perfect, you can like them for who they are.|Donald Miller
When the power of love overcomes the love of power, the world will know peace.|Jimi Hendrix
Remember that wherever your heart is, there you will find your treasure.|Paulo Coelho
Find what you love and let it kill you.|Charles Bukowski
Life is to be enjoyed, not endured|Gordon B. Hinckley
Let everything happen to youBeauty and terrorJust keep goingNo feeling is final|Rainer Maria Rilke
Learn what is to be taken seriously and laugh at the rest.|Herman Hesse
A classic is a book that has never finished saying what it has to say.|Italo Calvino
I go to seek a Great Perhaps.|FranÃ§ois Rabelais
What are men to rocks and mountains?|Jane Austen
You can't be happy unless you're unhappy sometimes.|Lauren Oliver
